ques_id,question
1,根据年度报告，2022年中国联通在向数字科技领军企业转变的过程中实现了哪些维度的转型升级？
2,告诉我2022年联通产业互联网收入的同比增长速度。
3,根据2022年度报告，中国联通的企业定位是什么？
4,2022年联通在“大联接”和“大数据”业务上取得了什么成果？
5,2022年上半年，联通在精品网络建设上有什么成果？
6,2022年半年度报告指出，半年间联通在科技创新中取得了哪三个收获？
7,2022年第一季度和第三季度报告中指出，中国联通应收账款发生变动的主要原因是什么？
8,2022年第一季度，中国联通财务指标中存货变动的主要原因是什么？
9,查询2022年年度报告或季度报告，介绍联通在北京冬奥会和冬残奥会上运用了哪些技术保障通信服务
10,2022年第一季度期末，中国联合网络通信集团有限公司的自有持股比例是多少？
11,介绍2022年联通董事会审计委员会的董事组成情况。
12,中国联通的股票代码是多少？
13,中国联通股票上市交易所是哪个？
14,根据年度报告摘要，中国联通2020年在国际网络建设方面取得了哪些成果？
15,帮我查询2020年中国联通在产业互联网业务上的收入情况。
16,我想知道中国联通2020年年度报告中介绍了哪些抗击新冠疫情、助力复工复产方面的工作？
17,2020年上半年，联通固网宽带的收入和用户数增长了多少？
18,2020年上半年，联通与哪些企业通过合资公司或联合实验室保持了战略合作？
19,2020年第三季度报告指出，联通如何应对疫情防控常态化造成的宽带组网和提速需求提升？
20,2019年底和2020年底，联通宽带端口总数分别为多少？
21,根据联通年度报告，2019年和2020年手机用户月户均数据流量分别为多少？
22,2019年中国联通对移动业务的发展策略做了什么调整?
23,2019年中国联通面向家庭用户规模推广了哪些智慧家庭产品？
24,《关于公司限制性股票激励计划首期授予方案实施预留授予的议案》在哪一天被审议通过？
25,根据信通院关于我国5G发展的白皮书，我国5G政策呈现出哪些特点？
26,5G推动了哪些新兴业态展现发展潜力？
27,2023年上半年，我国厂商在全球5G手机出货量中的市场份额有多少？
28,5G-A预计包含哪些版本？
29,2023年我国是如何持续完善重点网络安全制度要求的?
30,根据IDC数据，2022年全球数据总产量和过去五年平均增速分别是多少？
31,统计数据显示，2022年我国算力规模增长、数字经济和GDP名义分别增长多少？
32,我国区块链发展面临的主要挑战有哪些？
33,截至2023年12月，区块链企业的国家和地区分布方面，中国和美国分别有多少家区块链企业？
34,互联网平台责任逐步规范，平台发展法治环境日益优化，有哪几点体现？
35,联通资产运营公司亦庄驻地组吴永的座右铭是什么?
36,在2023年中国科协“创新达人”河南省评选活动中，南作获得了哪些荣耀？
37,面对云南省临沧市临翔区圈内乡斗阁村发生的一起森林火灾，中国联通省分公司是如何行动的？
38,广东联通志愿服务队在21个地市共开展“青春暖夕阳”专场活动有多少场？参与志愿者达到多少人次？
39,“云尚蓟州”平台提供的智能化的旅游服务有哪些？
40,“渔政核查核录”系统自正式上线以来识别率精度达到了多少且累计完成了多少次AI预警？
41,被大家称为“托举哥”的英雄是谁?
42,2024中国联通合作伙伴大会“人工智能赋能智慧车联网论坛”的主题是什么?
43,2023年义乌市出口额和进口额分别是多少？
44,中国联通智能城市研究院依托自研的璇玑“5G+北斗”时空基座，基于元景大模型构建的中国联通时空大模型具备哪些特色能力?
45,中国联通推出的“畅游欧洲，激情巴黎”出境漫游随心选活动，为用户提供了哪四种流量套餐选择?
46,“游新疆”小程序是谁打造的？
47,三苏文化大数据库的打造目的是什么？
48,中国联通在2024年世界智能产业博览会上的主题是什么？
49,中国联通的卡通形象“通通”的寓意是什么?
50,湖南联通在岳阳华容团洲垸决堤后采取了哪些行动来恢复通信？
51,中国联通经济社会智能孪生系统建设的三大核心特色是什么？
52,IDC MarketScape报告评估厂商的标准是什么？
53,中国联通旗下的哪两个企业入选了国资委“创建世界一流示范企业和专精特新示范企业”名单？
54,"中国联通人工智能创新发展论坛上,客户分享了元景大模型在哪些行业的应用案例？"
55,中国联通举办人工智能创新发展论坛的具体日期是什么时候？
56,紫金山实验室为什么要使用仿真平台进行有效性测试？
57,告诉我紫金山实验室在哪个城市？
58,中国联通董事长刘烈宏在2022年中国联通合作伙伴大会上提到的联通五大主责主业是什么？
59,2022年世界宽带论坛上，中国联通荣获了什么奖项？
60,国企改革三年行动的“三个明显成效”是什么？
61,中国联通董事长陈忠岳在2024中国联通合作伙伴大会上提出了哪些倡议？
62,联通在内蒙古智算中心上线的算力调度平台名称是什么？
63,新一轮国企改革深化提升行动的重点在哪些方面？
64,中国联通哪些项目荣获2023年“边缘计算技术创新先锋案例”？
65,中国联通“银龄跨越数字鸿沟专项行动”在哪些服务窗口为65岁以上客户提供了专属服务？
66,查一下2024年中国品牌日的主题和举办日期。
67,联通“格物”平台帮助解决了南京南部新城项目建设过程中的哪些难题？
68,国资委党委党史学习教育总结会议上指出，国资央企系统应勇于自我革命，并坚决反对哪些主义？
69,国务院国资委党委举办党纪学习教育读书班的目的是什么？
70,中国联通在第五届“绽放杯”5G应用征集大赛中获得了哪些奖项？
71,中国联通如何通过5G技术帮助金珠沙梨产业升级？
72,联通云PaaS平台提供的自研操作系统名字叫什么？
73,2024年7月19日，中国联通人工智能创新中心经过半年的技术钻研与应用实践，推出了元景2.0，实现了哪几项能力升级？
74,2024年7月19日发布的元景2.0包括哪三大基础模型？
75,中国联通的冬奥网络是按照什么核心理念进行规划的？
76,5G技术在北京冬奥会中的应用将带来哪些特点？
77,智慧医疗在5G环境下能实现哪些功能？
78,“中国联通智算联盟”的愿景是什么？
79,联通云联合晋云科技打造的“能源智算云”是基于什么需求？
80,中国联通在什么中提出了业界首页L4级蓝图？
81,中国联通的主营业务包括哪两类？
82,中国联通旗下哪家公司入选国资委“创建世界一流专精特新示范企业”？
83,截至2024年4月，联通数字乡村平台分别覆盖和服务了多少个行政村和村户？
84,中国联通推出的专属反诈号码是多少？
85,中国联通党员干部在主题教育中要把握什么总要求？
86,北京联通重要通信保障团队的刘申申要实现哪三个“零”目标？
87,中国联通在政务大数据平台建设方面有哪些成果？
88,中国联通在数字经济平台建设方面有哪些成果？
89,中国联通在浙江数字机关建设方面有哪些成果？
90,中国联通自主研发的什么平台被国家博物馆永久收藏？
91,中国联通建立了什么平台，来实现涉诈号码精准发现、快速处置？
92,河南联通针对3G网络升级进度不一的问题，采取了哪些措施？
93,2022年泰安肥城联通为听（视）障人士设计了哪两款通信产品？
94,上海联通北区分公司通过贯彻什么机制，培养业务骨干成为党员？
95,上海联通北区分公司设立的“共产党员工程”明确了什么具体目标？
96,2018年中国联通大幅下调了国际漫游资费，具体体现在哪些方面？
97,2017年5月，中国联通两度大幅降低国际漫游资费，两次分别以什么为主要特征？
98,2017年，围绕服务“一带一路”沿线国家产业互联网发展，中国联通面向六类重点行业客户，打造了解决方案，分别是哪六类行业？
99,中国联通以“三强化三坚持”掀起大兴调查研究热潮重点“三强化三坚持”分别是指什么？
100,截至2017年12月26日，北京市2022年冬奥会和冬残奥会官方合作伙伴已达五家，分别是哪几家？
101,根据2023年年度报告摘要，中国联通在中央企业品牌建设能力对标中位于通信行业第几名？
102,帮我查一下，2023年联通5G中频基站的数量和新增量分别是多少？
103,查询2023年年度报告摘要，告诉我联通算网数智业务发展能力的增强主要体现在哪几个方面。
104,2023年中国联通通信业务的用户规模达到了多少？
105,2023年前三季度中国联通移动用户规模情况如何？
106,2023年前三季度中国联通新获专利数量同比提升了多少？
107,告诉我2023年第一季度联通“大计算”业务的开展情况。
108,2023年第一季度中国联通大数据收入较去年同期提升了多少？
109,中国联通2023年第一季度报告指出，公司正在从传统管道运营商向什么类型的企业转型升级？
110,告诉我中国联通2023年年度股东大会现场会议于何时召开？
111,2023年度董事会报告中指出，联通在原创技术策源地建设上取得了哪些成果？
112,在2023年度，中国联通监事会召开了几次会议？
113,查一下年度报告，告诉我2021年联通大数据业务收入和市场份额的情况。
114,中国联通2021年归属于上市公司股东的净利润相比上年的增长百分比是多少？
115,2021年上半年联通履行了哪些社会责任？
116,2022年中国联通股东大会资料指出公司在哪些方面承担了社会责任？
117,中国联通第七届监事会第九次会议的审议内容是什么？
118,中国联通董事会及各专门委员会在2022年及2023年分别召开了多少次会议？
119,2022年中国联通的“大联接”用户规模累计有多少？
120,联通在2022年和2020年的移动出账用户分别有多少？
121,2022年年中和年底，联通数据中心IDC机架规模分别达到了多少？
122,2022年第一季度期末，中国联通普通股股东总数是多少？
123,查询2020年中国联通证券事务代表的姓名。
124,2020年上半年，联通哪家子公司被评为“亚洲最佳企业管治公司”？
125,2020年前三季度，联通网间结算成本下降的主要原因是什么？
126,2019年上半年中国联通的整体业绩情况怎么样？
127,中国信通院预计2023年5G技术对经济增长带来多大程度的影响？
128,有效提升通信网络覆盖深度广度的措施有哪些？
129,工业互联网是推进产业结构优化升级的重要抓手包括哪些方面？
130,2023年全球人工智能市场收入以及同比增长分别是多少？
131,全球数字经济发展愿景主要有哪几点？
132,内蒙古联通绍天纲已获得国家专利授权和软件著作权各有多少项？
133,中国联通河南分公司根据太昊陵伏羲文化旅游区的特定信息化需求制定了一套怎样的解决方案并实现了哪些功能？
134,"面对中国联通“百年传承,三十向新”的关键历史节点，中国联通董事长陈忠提出了哪三点重要倡议？"
135,中国联通三农AI联合实验室组建的宗旨是什么?
136,联通元景大模型为了面向人工智能赋能实体经济的需要提供了哪些体系化产品?
137,中国联通河北沧州公司纸房头营业部张玉，2012年以来荣获过哪些荣耀?
138,“联通小象”什么时候正式成为广西联通的服务品牌？
139,山东联通如何帮助山东鑫博奥公司实现了数字化转型？
140,美的空调泰国工厂占地面积是多少?
141,“星罗”先进算力调度平台的主要功能是什么？
142,中国联通人工智能创新中心推出的元景2.0实现了哪四项能力升级？
143,中国联通智慧社区平台在内蒙古已累计接入小区和注册用户分别是多少?
144,2022年中国联通合作伙伴大会主旨演讲中提及了哪些5G+方面的已有成果？
145,人工智能共享数据集AIData的发布日期是什么时候？
146,2024中国联通合作伙伴大会算网生态大会上，中国工程院院士刘韵洁所作分享的主题是什么？
147,中国联通人工智能赋能全域数字化论坛上提到了哪些服务县域数字化的案例？
148,“格物”设备管理平台支持哪些协议类型？
149,联通云如何保障企业的容器环境安全？
150,中国联通生态合作伙伴大会上，哪几位院士被聘请为中国联通大数据原创技术特聘院士专家？
151,元景2.0实现了哪四项能力的升级？
152,元景2.0如何解决大模型进行RAG时“不会查、看不全、找不对”的问题？
153,联通元景在辽宁12345省级平台的应用提升了哪些服务指标？
154,联数网和可信数据资源空间是什么？
155,中国联通在响应绿色低碳战略过程中，与哪个企业合作探索了无线网络共建共享模式？
156,郝鹏在文章中提到，国资委党委推动新时代国资央企的历史性成就集中体现在哪些方面？
157,“2022年中国网信十大技术产品”榜首产品是什么？
158,央地携手合作落实成渝地区双城经济圈建设国家战略共建现代化新重庆座谈会的主持人是谁？
159,中国联通与中国电信共建共享的具体成效是什么？
160,一体推进“三不腐”中的关键是什么？
161,中星26号通信卫星的发射日期是哪一天？
162,“两增一控三提高”具体是指什么？
163,中国联通大数据首席科学家范济安在人工智能赋能新型工业化论坛上发布了什么计划？
164,中国联通成立于哪一年？
165,中国联通的创始人胡启立同志在原电子工业部担任了部长几年？
166,截至2008年8月，中国的固化装机和移动电话数量分别是多少？
167,在上海联通沉浸式数字生活体验厅内，能体验哪些沉浸式数字生活？
168,我国哪一年开始发放的4G牌照？
169,2009年3G牌照发放，中国联通拿到的牌照是什么？
170,在2017年12月26日的北京冬奥会合作伙伴的签约仪式中，中国联通提出了什么主题理念？
171,中国联通为了向青少年和校园学生群体普及冬奥知识和文化，启动了什么活动？
172,我国什么时候开通的第一个大规模商用模拟移动通信系统？
173,截至2024年5月底，中国联通“大联接”用户有多少？
174,福建联通建成的“闽宁云”算力服务项目在何时登上央视新闻联播？
175,2024年福建联通的移动网人口覆盖率和行政村覆盖率分别是多少？
176,2024年青海联通的网络建设覆盖情况如何？
177,中国联通成为北京2022年冬奥会和冬残奥会官方通信服务合作伙伴是在哪一天？
178,截至2024年7月19日，中国联通全网智算算力达到了多少？
179,中国联通在智慧城市和数字乡村平台建设方面有哪些应用？
180,中国联通累计开通的4G和5G共享基站分别有多少站？